ID,Academic Background,Major,Interests,Skills,Job Position,Salary (SAR/month),Certifications,Tools,Job Description,Suggested Learning Path
1,Business,Human Resources,"Digital Marketing, Business Strategy, Sales","Google Analytics, Presentation Skills, Financial Analysis, Supply Chain Management",Business Analyst,22500 - 60000 SAR,"Certified Business Analysis Professional (CBAP), Data Analytics Certificate","Oracle ERP, Slack, HubSpot","Analyzes market trends in Saudi Arabia, provides data-driven recommendations to companies, and optimizes business operations for growth.","Data Visualization for Business, SQL for Business Analytics, Excel Power Query"
2,Business,Marketing,"Sales, Business Strategy, Digital Marketing","Excel, Negotiation, Advertising, Social Media Marketing",Data Analyst,22500 - 60000 SAR,"None, Python for Data Analysis","Asana, Hootsuite, Salesforce","Extracts insights from large datasets using Python, SQL, and visualization tools to support business decisions.","SQL for Data Science, Google Data Analytics Certificate, Power BI & Tableau"
3,Technology,Software Engineering,"Data Science, Cloud Computing, Machine Learning","iOS Development, Machine Learning, Kubernetes, SQL",Cloud Architect,18750 - 56250 SAR,"AWS Certified Solutions Architect, Google Cloud Architect","Power BI, Docker, Apache Spark","Designs and manages cloud solutions for large enterprises, government entities, and startups in Saudi Arabia, focusing on compliance with local data security laws.","AWS Certified Solutions Architect, Google Cloud Platform Training, Azure Cloud Security"
4,Design,Product Design,"3D Design, Branding, Motion Graphics","Wireframing, Motion Graphics, Illustrator, Typography",Product Designer,13125 - 37500 SAR,"Certified Design Thinking Professional, None","CorelDRAW, ZBrush, Maya",Combines UI/UX and industrial design principles to develop consumer products and digital experiences optimized for the Saudi market.,"Product Thinking & Strategy, Prototyping with Figma, 3D Product Visualization"
5,Design,Product Design,"Motion Graphics, 3D Design, Branding","Graphic Design, Product Prototyping, Brand Identity, 3D Animation",Product Designer,18750 - 52500 SAR,"None, Certified Design Thinking Professional","Figma, Krita, Sketch",Combines UI/UX and industrial design principles to develop consumer products and digital experiences optimized for the Saudi market.,"Product Thinking & Strategy, Prototyping with Figma, 3D Product Visualization"
6,Design,Product Design,"3D Design, Illustration, Motion Graphics","Motion Graphics, 3D Animation, Adobe Photoshop, Illustrator",Product Designer,18750 - 52500 SAR,"None, Certified Design Thinking Professional","Affinity Designer, Blender, Cinema 4D",Combines UI/UX and industrial design principles to develop consumer products and digital experiences optimized for the Saudi market.,"Product Thinking & Strategy, Prototyping with Figma, 3D Product Visualization"
7,Business,Marketing,"Sales, Consulting, Entrepreneurship","Project Management, Google Analytics, Presentation Skills, Supply Chain Management",Strategy Consultant,16875 - 45000 SAR,"None, Certified Strategy Consultant","Google Analytics, Asana, Monday.com","Provides expert advice to businesses entering the Saudi market, focusing on regulatory compliance, market expansion, and financial strategies.","Business Strategy & Competitive Analysis, Financial Modeling, Market Research & Consulting"
8,Design,UI/UX,"UI/UX, Illustration, 3D Design","Illustrator, Cinema 4D, Wireframing, Figma",UI/UX Designer,16875 - 45000 SAR,"Adobe Certified Expert, Google UX Design Certificate","Figma, Procreate, Maya","Creates user-friendly interfaces with a focus on bilingual (Arabic-English) design, accessibility, and cultural preferences. Works with Saudi fintech, healthcare, and retail industries.","User Research Methods, Design Systems & Prototyping, Figma & Adobe XD Mastery"
9,Technology,Software Engineering,"App Development, Blockchain, Data Science","SQL, Java, Blockchain, Machine Learning",Cloud Architect,18750 - 56250 SAR,"AWS Certified Solutions Architect, None","MATLAB, GitHub, Tableau","Designs and manages cloud solutions for large enterprises, government entities, and startups in Saudi Arabia, focusing on compliance with local data security laws.","AWS Certified Solutions Architect, Google Cloud Platform Training, Azure Cloud Security"
10,Business,Project Management,"Consulting, Digital Marketing, Business Strategy","Google Analytics, Excel, Advertising, Negotiation",Strategy Consultant,22500 - 60000 SAR,"None, Six Sigma Black Belt","Google Analytics, SAP, Oracle ERP","Provides expert advice to businesses entering the Saudi market, focusing on regulatory compliance, market expansion, and financial strategies.","Business Strategy & Competitive Analysis, Financial Modeling, Market Research & Consulting"
11,Business,Finance,"Entrepreneurship, Consulting, Business Strategy","Excel, Negotiation, SEO, Google Analytics",Data Analyst,16875 - 45000 SAR,"Google Data Analytics Certificate, Python for Data Analysis","Monday.com, SAP, Slack","Extracts insights from large datasets using Python, SQL, and visualization tools to support business decisions.","SQL for Data Science, Google Data Analytics Certificate, Power BI & Tableau"
12,Design,Animation,"Illustration, Motion Graphics, 3D Design","Adobe Photoshop, UI/UX Research, Motion Graphics, Wireframing",Product Designer,16875 - 45000 SAR,"None, Certified Design Thinking Professional","Krita, Blender, Procreate",Combines UI/UX and industrial design principles to develop consumer products and digital experiences optimized for the Saudi market.,"Product Thinking & Strategy, Prototyping with Figma, 3D Product Visualization"
13,Design,Product Design,"Motion Graphics, Illustration, UI/UX","Graphic Design, After Effects, Wireframing, Cinema 4D",Graphic Designer,16875 - 45000 SAR,"3D Modeling Certification, Adobe Certified Expert","Krita, Blender, Figma","Creates branding and marketing materials for Saudi businesses, including social media campaigns, product packaging, and corporate identity materials.","Advanced Photoshop Techniques, 3D Design with Blender, Typography & Branding"
14,Technology,Computer Science,"Web Development, Data Science, Machine Learning","TensorFlow, Data Analysis, React, iOS Development",Cloud Architect,18750 - 56250 SAR,"None, AWS Certified Solutions Architect","Jupyter Notebook, Microsoft Azure, Docker","Designs and manages cloud solutions for large enterprises, government entities, and startups in Saudi Arabia, focusing on compliance with local data security laws.","AWS Certified Solutions Architect, Google Cloud Platform Training, Azure Cloud Security"
15,Technology,Computer Science,"Data Science, App Development, Blockchain","AWS, Blockchain, Cybersecurity, Cloud Computing",Frontend Developer,26250 - 67500 SAR,"Certified JavaScript Developer, Google Mobile Web Specialist","Docker, MATLAB, Microsoft Azure","Designs and builds user-friendly interfaces in Arabic and English, ensuring accessibility and responsiveness for Saudi-based web platforms and mobile applications.","JavaScript Mastery, React.js Development, Web Performance Optimization"
16,Technology,Computer Science,"Cloud Computing, App Development, Data Science","TensorFlow, Data Analysis, Cybersecurity, Java",Frontend Developer,18750 - 56250 SAR,"None, Google Mobile Web Specialist","Google Cloud, Apache Spark, GitHub","Designs and builds user-friendly interfaces in Arabic and English, ensuring accessibility and responsiveness for Saudi-based web platforms and mobile applications.","JavaScript Mastery, React.js Development, Web Performance Optimization"
17,Business,Human Resources,"Business Strategy, Consulting, Sales","Google Analytics, Excel, Presentation Skills, Salesforce",HR Specialist,22500 - 60000 SAR,"PMP, None","Google Analytics, Hootsuite, Microsoft Power BI","Manages recruitment and employee relations for Saudi-based companies, ensuring compliance with labor laws and Saudization policies.","HR Analytics & People Management, Recruitment & Talent Acquisition, Employee Engagement"
18,Design,Product Design,"UI/UX, Motion Graphics, Illustration","Wireframing, Blender, Illustrator, Motion Graphics",Motion Graphics Designer,16875 - 45000 SAR,"Adobe After Effects Certification, Motion Graphics Pro","Adobe XD, ZBrush, Krita","Produces animated content for advertising agencies, entertainment companies, and digital media projects in Saudi Arabia.",General Career Development
19,Business,Finance,"Entrepreneurship, Digital Marketing, Consulting","Advertising, Presentation Skills, SEO, Google Analytics",Financial Analyst,20625 - 56250 SAR,"Chartered Financial Analyst (CFA), None","Microsoft Power BI, Asana, Monday.com","Analyzes financial data, creates reports, and provides strategic recommendations for business growth.","Financial Modeling & Valuation, CFA Preparation Courses, Investment Analysis"
20,Business,Human Resources,"Digital Marketing, Sales, Business Strategy","Excel, Advertising, Supply Chain Management, SEO",Financial Analyst,20625 - 56250 SAR,"Chartered Financial Analyst (CFA), None","SAP, Asana, HubSpot","Analyzes financial data, creates reports, and provides strategic recommendations for business growth.","Financial Modeling & Valuation, CFA Preparation Courses, Investment Analysis"
21,Technology,AI & Robotics,"Cloud Computing, App Development, Machine Learning","Swift, API Development, SQL, Cybersecurity",Cloud Architect,26250 - 67500 SAR,"AWS Certified Solutions Architect, None","Arduino, Oracle Cloud, TensorFlow","Designs and manages cloud solutions for large enterprises, government entities, and startups in Saudi Arabia, focusing on compliance with local data security laws.","AWS Certified Solutions Architect, Google Cloud Platform Training, Azure Cloud Security"
22,Business,Project Management,"Entrepreneurship, Digital Marketing, Business Strategy","SEO, Google Analytics, Financial Analysis, Excel",Marketing Manager,20625 - 56250 SAR,"Certified Digital Marketing Professional, Google Ads Certification","Google Analytics, Microsoft Power BI, Slack","Develops marketing strategies for Saudi businesses, focusing on digital advertising, influencer collaborations, and localized content marketing.","SEO & Digital Marketing, Social Media Growth Strategies, Branding & Market Research"
23,Business,Human Resources,"Digital Marketing, Sales, Business Strategy","Market Research, E-commerce, Financial Analysis, Advertising",Fintech Business Analyst,16875 - 45000 SAR,"Fintech & Blockchain Certification, None","SAP, HubSpot, Salesforce",Bridges finance and technology by working with developers to optimize fintech solutions and ensure regulatory compliance.,"Blockchain & Cryptocurrency Fundamentals, AI in Financial Services, RegTech & Compliance"
24,Business,Marketing,"Consulting, Business Strategy, Entrepreneurship","Negotiation, Presentation Skills, Market Research, Advertising",HR Specialist,16875 - 45000 SAR,"HR Professional Certificate, None","Slack, Asana, Hootsuite","Manages recruitment and employee relations for Saudi-based companies, ensuring compliance with labor laws and Saudization policies.","HR Analytics & People Management, Recruitment & Talent Acquisition, Employee Engagement"
25,Technology,AI & Robotics,"Blockchain, App Development, Cloud Computing","AWS, Kubernetes, Machine Learning, C++",Cybersecurity Analyst,18750 - 56250 SAR,"Certified Ethical Hacker (CEH), CompTIA Security+","Arduino, IBM Watson, Google Cloud","Monitors security threats, ensures compliance with Saudi Arabian cybersecurity regulations (such as NCA standards), and protects critical infrastructure.","Ethical Hacking Certification, Network Security Fundamentals, Incident Response Training"
26,Technology,AI & Robotics,"App Development, Machine Learning, Cloud Computing","Machine Learning, Python, C++, API Development",Frontend Developer,26250 - 67500 SAR,"Certified JavaScript Developer, Google Mobile Web Specialist","Oracle Cloud, GitHub, Power BI","Designs and builds user-friendly interfaces in Arabic and English, ensuring accessibility and responsiveness for Saudi-based web platforms and mobile applications.","JavaScript Mastery, React.js Development, Web Performance Optimization"
27,Business,Finance,"Entrepreneurship, Digital Marketing, Business Strategy","Project Management, Negotiation, Social Media Marketing, Advertising",Data Analyst,20625 - 56250 SAR,"Python for Data Analysis, None","Trello, HubSpot, SAP","Extracts insights from large datasets using Python, SQL, and visualization tools to support business decisions.","SQL for Data Science, Google Data Analytics Certificate, Power BI & Tableau"
28,Business,Marketing,"Digital Marketing, Business Strategy, Sales","E-commerce, Project Management, Salesforce, Advertising",Fintech Business Analyst,20625 - 56250 SAR,"AI in Finance, None","Monday.com, Trello, Salesforce",Bridges finance and technology by working with developers to optimize fintech solutions and ensure regulatory compliance.,"Blockchain & Cryptocurrency Fundamentals, AI in Financial Services, RegTech & Compliance"
29,Design,Animation,"Illustration, UI/UX, Motion Graphics","Graphic Design, Cinema 4D, Wireframing, UI/UX Research",UI/UX Designer,16875 - 45000 SAR,"None, Google UX Design Certificate","CorelDRAW, Affinity Designer, Blender","Creates user-friendly interfaces with a focus on bilingual (Arabic-English) design, accessibility, and cultural preferences. Works with Saudi fintech, healthcare, and retail industries.","User Research Methods, Design Systems & Prototyping, Figma & Adobe XD Mastery"
